Comment,Emotion,cleaned_text,tokens,processed_tokens,processed_text
i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,fear,i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,"['i', 'hope', 'that', 'the', 'next', 'quote', 'will', 'be', 'able', 'to', 'let', 'my', 'special', 'someone', 'knows', 'what', 'im', 'feeling', 'insecure', 'about', 'and', 'understand', 'that', 'no', 'matter', 'how', 'much', 'i', 'trust']","['hope', 'next', 'quote', 'able', 'let', 'special', 'someone', 'knows', 'im', 'feeling', 'insecure', 'understand', 'matter', 'much', 'trust']",hope next quote able let special someone knows im feeling insecure understand matter much trust
i feel much better and without the help of ice,joy,i feel much better and without the help of ice,"['i', 'feel', 'much', 'better', 'and', 'without', 'the', 'help', 'of', 'ice']","['feel', 'much', 'better', 'without', 'help', 'ice']",feel much better without help ice
i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,anger,i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,"['i', 'am', 'sitting', 'here', 'typing', 'this', 'and', 'wondering', 'where', 'i', 'belong', 'feeling', 'distracted', 'feeling', 'comfortable', 'feeling', 'misunderstood', 'and', 'hurt']","['sitting', 'typing', 'wondering', 'belong', 'feeling', 'distracted', 'feeling', 'comfortable', 'feeling', 'misunderstood', 'hurt']",sitting typing wondering belong feeling distracted feeling comfortable feeling misunderstood hurt
i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,fear,i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,"['i', 'still', 'feel', 'its', 'a', 'little', 'shaky', 'at', 'times', 'and', 'can', 'move', 'into', 'the', 'slightly', 'odd', 'jades', 'hair', 'in', 'particular', 'seems', 'prone', 'to', 'this', 'but', 'generally', 'it', 'works', 'well', 'with', 'spencers', 'writing']","['still', 'feel', 'little', 'shaky', 'times', 'move', 'slightly', 'odd', 'jades', 'hair', 'particular', 'seems', 'prone', 'generally', 'works', 'well', 'spencers', 'writing']",still feel little shaky times move slightly odd jades hair particular seems prone generally works well spencers writing
i stropped about for a bit feeling grumpy because i was missing out,anger,i stropped about for a bit feeling grumpy because i was missing out,"['i', 'stropped', 'about', 'for', 'a', 'bit', 'feeling', 'grumpy', 'because', 'i', 'was', 'missing', 'out']","['stropped', 'bit', 'feeling', 'grumpy', 'missing']",stropped bit feeling grumpy missing
i have a feeling i shall go mad,anger,i have a feeling i shall go mad,"['i', 'have', 'a', 'feeling', 'i', 'shall', 'go', 'mad']","['feeling', 'shall', 'go', 'mad']",feeling shall go mad
i am happpy when i get good results in the field of academics or athletics,joy,i am happpy when i get good results in the field of academics or athletics,"['i', 'am', 'happpy', 'when', 'i', 'get', 'good', 'results', 'in', 'the', 'field', 'of', 'academics', 'or', 'athletics']","['happpy', 'get', 'good', 'results', 'field', 'academics', 'athletics']",happpy get good results field academics athletics
i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,joy,i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,"['i', 'got', 'the', 'feeling', 'brig', 'is', 'sincere', 'and', 'has', 'a', 'very', 'strong', 'desire', 'to', 'help', 'others', 'become', 'successful', 'both', 'financially', 'and', 'also', 'through', 'building', 'strengthening', 'relationships', 'through', 'christianity']","['got', 'feeling', 'brig', 'sincere', 'strong', 'desire', 'help', 'others', 'become', 'successful', 'financially', 'also', 'building', 'strengthening', 'relationships', 'christianity']",got feeling brig sincere strong desire help others become successful financially also building strengthening relationships christianity
im feeling deeply overwhelmed by these ordinary tasks,fear,im feeling deeply overwhelmed by these ordinary tasks,"['im', 'feeling', 'deeply', 'overwhelmed', 'by', 'these', 'ordinary', 'tasks']","['im', 'feeling', 'deeply', 'overwhelmed', 'ordinary', 'tasks']",im feeling deeply overwhelmed ordinary tasks
i feel so grouchy and irritable when im sick,anger,i feel so grouchy and irritable when im sick,"['i', 'feel', 'so', 'grouchy', 'and', 'irritable', 'when', 'im', 'sick']","['feel', 'grouchy', 'irritable', 'im', 'sick']",feel grouchy irritable im sick
i feel my heart shaky all the time now,fear,i feel my heart shaky all the time now,"['i', 'feel', 'my', 'heart', 'shaky', 'all', 'the', 'time', 'now']","['feel', 'heart', 'shaky', 'time']",feel heart shaky time
i expect and i feel content with that,joy,i expect and i feel content with that,"['i', 'expect', 'and', 'i', 'feel', 'content', 'with', 'that']","['expect', 'feel', 'content']",expect feel content
i feel amused at the absurdity of it all,joy,i feel amused at the absurdity of it all,"['i', 'feel', 'amused', 'at', 'the', 'absurdity', 'of', 'it', 'all']","['feel', 'amused', 'absurdity']",feel amused absurdity
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger,i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,"['i', 'end', 'up', 'getting', 'unwanted', 'attention', 'from', 'boys', 'i', 'want', 'little', 'to', 'do', 'with', 'or', 'ill', 'be', 'sort', 'of', 'starting', 'something', 'with', 'a', 'boy', 'then', 'find', 'myself', 'flirtiing', 'with', 'others', 'in', 'his', 'presence', 'or', 'ill', 'feel', 'really', 'insincere', 'around', 'boys', 'that', 'i', 'do', 'like']","['end', 'getting', 'unwanted', 'attention', 'boys', 'want', 'little', 'ill', 'sort', 'starting', 'something', 'boy', 'find', 'flirtiing', 'others', 'presence', 'ill', 'feel', 'really', 'insincere', 'around', 'boys', 'like']",end getting unwanted attention boys want little ill sort starting something boy find flirtiing others presence ill feel really insincere around boys like
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger,i just couldnt help feeling a little bit bitter towards his great big happy grin,"['i', 'just', 'couldnt', 'help', 'feeling', 'a', 'little', 'bit', 'bitter', 'towards', 'his', 'great', 'big', 'happy', 'grin']","['couldnt', 'help', 'feeling', 'little', 'bit', 'bitter', 'towards', 'great', 'big', 'happy', 'grin']",couldnt help feeling little bit bitter towards great big happy grin
i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,joy,i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,"['i', 'go', 'back', 'to', 'my', 'point', 'about', 'what', 'an', 'easy', 'sell', 'getting', 'folk', 'to', 'feel', 'really', 'virtuous', 'for', 'not', 'doing', 'what', 'they', 'dont', 'want', 'to', 'do', 'anyway']","['go', 'back', 'point', 'easy', 'sell', 'getting', 'folk', 'feel', 'really', 'virtuous', 'dont', 'want', 'anyway']",go back point easy sell getting folk feel really virtuous dont want anyway
im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,joy,im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,"['im', 'feeling', 'a', 'bit', 'more', 'sociable', 'now', 'although', 'i', 'dont', 'think', 'ill', 'be', 'able', 'to', 'express', 'everything', 'i', 'want', 'to', 'say']","['im', 'feeling', 'bit', 'sociable', 'although', 'dont', 'think', 'ill', 'able', 'express', 'everything', 'want', 'say']",im feeling bit sociable although dont think ill able express everything want say
i would feel joyful,joy,i would feel joyful,"['i', 'would', 'feel', 'joyful']","['would', 'feel', 'joyful']",would feel joyful
at a certain situation i felt myself neglected and undeservedly harmed,anger,at a certain situation i felt myself neglected and undeservedly harmed,"['at', 'a', 'certain', 'situation', 'i', 'felt', 'myself', 'neglected', 'and', 'undeservedly', 'harmed']","['certain', 'situation', 'felt', 'neglected', 'undeservedly', 'harmed']",certain situation felt neglected undeservedly harmed
i felt good and feel fine today too,joy,i felt good and feel fine today too,"['i', 'felt', 'good', 'and', 'feel', 'fine', 'today', 'too']","['felt', 'good', 'feel', 'fine', 'today']",felt good feel fine today
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger,i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,"['i', 'looked', 'at', 'what', 'had', 'happened', 'to', 'us', 'in', 'two', 'generations', 'and', 'looked', 'at', 'what', 'hadn', 't', 'happened', 'to', 'them', 'in', 'two', 'or', 'three', 'and', 'instead', 'of', 'feeling', 'outraged', 'by', 'their', 'history', 'of', 'aggression', 'i', 'felt', 'privileged', 'by', 'it']","['looked', 'happened', 'us', 'two', 'generations', 'looked', 'happened', 'two', 'three', 'instead', 'feeling', 'outraged', 'history', 'aggression', 'felt', 'privileged']",looked happened us two generations looked happened two three instead feeling outraged history aggression felt privileged
im feeling slightly optimistic,joy,im feeling slightly optimistic,"['im', 'feeling', 'slightly', 'optimistic']","['im', 'feeling', 'slightly', 'optimistic']",im feeling slightly optimistic
i feel and some is just a hateful of hollow yes i hear many smiths these days,anger,i feel and some is just a hateful of hollow yes i hear many smiths these days,"['i', 'feel', 'and', 'some', 'is', 'just', 'a', 'hateful', 'of', 'hollow', 'yes', 'i', 'hear', 'many', 'smiths', 'these', 'days']","['feel', 'hateful', 'hollow', 'yes', 'hear', 'many', 'smiths', 'days']",feel hateful hollow yes hear many smiths days
im still feeling indecisive im polling yall p,fear,im still feeling indecisive im polling yall p,"['im', 'still', 'feeling', 'indecisive', 'im', 'polling', 'yall', 'p']","['im', 'still', 'feeling', 'indecisive', 'im', 'polling', 'yall', 'p']",im still feeling indecisive im polling yall p
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger,sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,"['sometime', 'back', 'another', 'girl', 'who', 'was', 'in', 'terms', 'with', 'my', 'exboyfriend', 'came', 'to', 'shout', 'at', 'me', 'at', 'twelve', 'midnight', 'it', 'was', 'because', 'she', 'thought', 'i', 'was', 'still', 'interested', 'in', 'the', 'boy']","['sometime', 'back', 'another', 'girl', 'terms', 'exboyfriend', 'came', 'shout', 'twelve', 'midnight', 'thought', 'still', 'interested', 'boy']",sometime back another girl terms exboyfriend came shout twelve midnight thought still interested boy
id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger,id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,"['id', 'start', 'feeling', 'resentful', 'that', 'i', 'lived', 'in', 'a', 'part', 'of', 'the', 'country', 'where', 'the', 'sun', 'stubbornly', 'refuses', 'to', 'show', 'itself', 'after', 'the', 'end', 'of', 'september']","['id', 'start', 'feeling', 'resentful', 'lived', 'part', 'country', 'sun', 'stubbornly', 'refuses', 'show', 'end', 'september']",id start feeling resentful lived part country sun stubbornly refuses show end september
i just feel so fucked up these days,anger,i just feel so fucked up these days,"['i', 'just', 'feel', 'so', 'fucked', 'up', 'these', 'days']","['feel', 'fucked', 'days']",feel fucked days
i confess that i was feeling nervous as i made my way to the event venue,fear,i confess that i was feeling nervous as i made my way to the event venue,"['i', 'confess', 'that', 'i', 'was', 'feeling', 'nervous', 'as', 'i', 'made', 'my', 'way', 'to', 'the', 'event', 'venue']","['confess', 'feeling', 'nervous', 'made', 'way', 'event', 'venue']",confess feeling nervous made way event venue
i was really worried that i would feel intimidated by monica but when we met that morning she was incredibly welcoming and made me feel relaxed straight away,fear,i was really worried that i would feel intimidated by monica but when we met that morning she was incredibly welcoming and made me feel relaxed straight away,"['i', 'was', 'really', 'worried', 'that', 'i', 'would', 'feel', 'intimidated', 'by', 'monica', 'but', 'when', 'we', 'met', 'that', 'morning', 'she', 'was', 'incredibly', 'welcoming', 'and', 'made', 'me', 'feel', 'relaxed', 'straight', 'away']","['really', 'worried', 'would', 'feel', 'intimidated', 'monica', 'met', 'morning', 'incredibly', 'welcoming', 'made', 'feel', 'relaxed', 'straight', 'away']",really worried would feel intimidated monica met morning incredibly welcoming made feel relaxed straight away
i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,joy,i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,"['i', 'was', 'sick', 'with', 'a', 'cold', 'amp', 'not', 'feeling', 'well', 'wondering', 'if', 'i', 'would', 'even', 'be', 'able', 'to', 'have', 'the', 'patience', 'to', 'go', 'to', 'whitleys', 'month', 'photo', 'shoot']","['sick', 'cold', 'amp', 'feeling', 'well', 'wondering', 'would', 'even', 'able', 'patience', 'go', 'whitleys', 'month', 'photo', 'shoot']",sick cold amp feeling well wondering would even able patience go whitleys month photo shoot
i feel like i have been a bit obnoxious in my picture posting,anger,i feel like i have been a bit obnoxious in my picture posting,"['i', 'feel', 'like', 'i', 'have', 'been', 'a', 'bit', 'obnoxious', 'in', 'my', 'picture', 'posting']","['feel', 'like', 'bit', 'obnoxious', 'picture', 'posting']",feel like bit obnoxious picture posting
i feel morally outraged and furious more often than i d like,anger,i feel morally outraged and furious more often than i d like,"['i', 'feel', 'morally', 'outraged', 'and', 'furious', 'more', 'often', 'than', 'i', 'd', 'like']","['feel', 'morally', 'outraged', 'furious', 'often', 'like']",feel morally outraged furious often like
i feel pissed my friend didnt offer me a soda,anger,i feel pissed my friend didnt offer me a soda,"['i', 'feel', 'pissed', 'my', 'friend', 'didnt', 'offer', 'me', 'a', 'soda']","['feel', 'pissed', 'friend', 'didnt', 'offer', 'soda']",feel pissed friend didnt offer soda
i feel our hearts are treading dangerous territory,anger,i feel our hearts are treading dangerous territory,"['i', 'feel', 'our', 'hearts', 'are', 'treading', 'dangerous', 'territory']","['feel', 'hearts', 'treading', 'dangerous', 'territory']",feel hearts treading dangerous territory
i feel frightened by it all,fear,i feel frightened by it all,"['i', 'feel', 'frightened', 'by', 'it', 'all']","['feel', 'frightened']",feel frightened
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger,i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,"['i', 'know', 'it', 'was', 'not', 'pleasant', 'for', 'her', 'and', 'i', 'feel', 'selfish', 'saying', 'it', 'but', 'i', 'think', 'i', 'would', 'have', 'fallen', 'apart', 'if', 'i', 'had', 'been', 'there']","['know', 'pleasant', 'feel', 'selfish', 'saying', 'think', 'would', 'fallen', 'apart']",know pleasant feel selfish saying think would fallen apart
i feel shafted or greedy,anger,i feel shafted or greedy,"['i', 'feel', 'shafted', 'or', 'greedy']","['feel', 'shafted', 'greedy']",feel shafted greedy
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,fear,i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,"['i', 'have', 'just', 'had', 'such', 'a', 'crappy', 'week', 'that', 'i', 'am', 'still', 'feeling', 'all', 'agitated', 'and', 'like', 'the', 'day', 'wasn', 't', 'what', 'i', 'wanted']","['crappy', 'week', 'still', 'feeling', 'agitated', 'like', 'day', 'wanted']",crappy week still feeling agitated like day wanted
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger,i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,"['i', 'feel', 'rebellious', 'because', 'i', 'don', 't', 'particularly', 'like', 'watching', 'romcoms', 'but', 'i', 'get', 'the', 'feeling', 'that', 'i', 'may', 'be', 'pretty', 'good', 'at', 'writing', 'them']","['feel', 'rebellious', 'particularly', 'like', 'watching', 'romcoms', 'get', 'feeling', 'may', 'pretty', 'good', 'writing']",feel rebellious particularly like watching romcoms get feeling may pretty good writing
i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,fear,i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,"['i', 'feel', 'reluctant', 'to', 'just', 'leave', 'her', 'alone', 'like', 'that', 'without', 'helping', 'her', 'enough', 'to', 'repay', 'her', 'goodness', 'to', 'me']","['feel', 'reluctant', 'leave', 'alone', 'like', 'without', 'helping', 'enough', 'repay', 'goodness']",feel reluctant leave alone like without helping enough repay goodness
i am ashamed when i feel like that the moment i see terrified crying children and dead ones,fear,i am ashamed when i feel like that the moment i see terrified crying children and dead ones,"['i', 'am', 'ashamed', 'when', 'i', 'feel', 'like', 'that', 'the', 'moment', 'i', 'see', 'terrified', 'crying', 'children', 'and', 'dead', 'ones']","['ashamed', 'feel', 'like', 'moment', 'see', 'terrified', 'crying', 'children', 'dead', 'ones']",ashamed feel like moment see terrified crying children dead ones
i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,joy,i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,"['i', 'wake', 'up', 'in', 'the', 'morning', 'and', 'have', 'my', 'voice', 'and', 'my', 'throat', 'feels', 'ok', 'but', 'by', 'the', 'afternoon', 'its', 'all', 'scratchy', 'again', 'and', 'i', 'sound', 'like', 'marge', 'simpson', 'until', 'the', 'night', 'when', 'its', 'so', 'bad', 'and', 'my', 'throat', 'is', 'so', 'sore', 'i', 'just', 'have', 'to', 'whisper']","['wake', 'morning', 'voice', 'throat', 'feels', 'ok', 'afternoon', 'scratchy', 'sound', 'like', 'marge', 'simpson', 'night', 'bad', 'throat', 'sore', 'whisper']",wake morning voice throat feels ok afternoon scratchy sound like marge simpson night bad throat sore whisper
ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,joy,ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,"['ive', 'always', 'been', 'very', 'nervous', 'to', 'do', 'something', 'like', 'that', 'as', 'i', 'feel', 'like', 'i', 'am', 'not', 'really', 'that', 'talented', 'to', 'enter', 'something', 'into', 'an', 'official', 'contest']","['ive', 'always', 'nervous', 'something', 'like', 'feel', 'like', 'really', 'talented', 'enter', 'something', 'official', 'contest']",ive always nervous something like feel like really talented enter something official contest
i feel a bit pissed off because we went first,anger,i feel a bit pissed off because we went first,"['i', 'feel', 'a', 'bit', 'pissed', 'off', 'because', 'we', 'went', 'first']","['feel', 'bit', 'pissed', 'went', 'first']",feel bit pissed went first
i feel satisfied knowing the dirt and hair is no longer in the car and house,joy,i feel satisfied knowing the dirt and hair is no longer in the car and house,"['i', 'feel', 'satisfied', 'knowing', 'the', 'dirt', 'and', 'hair', 'is', 'no', 'longer', 'in', 'the', 'car', 'and', 'house']","['feel', 'satisfied', 'knowing', 'dirt', 'hair', 'longer', 'car', 'house']",feel satisfied knowing dirt hair longer car house
i really like how the special edition really does feel special with songs on it,joy,i really like how the special edition really does feel special with songs on it,"['i', 'really', 'like', 'how', 'the', 'special', 'edition', 'really', 'does', 'feel', 'special', 'with', 'songs', 'on', 'it']","['really', 'like', 'special', 'edition', 'really', 'feel', 'special', 'songs']",really like special edition really feel special songs
i would accept your gift without feeling mad,anger,i would accept your gift without feeling mad,"['i', 'would', 'accept', 'your', 'gift', 'without', 'feeling', 'mad']","['would', 'accept', 'gift', 'without', 'feeling', 'mad']",would accept gift without feeling mad
